,Year,Airport,FlightsA-Domestic,PaxA-Domestic,CargoA-Domestic,FlightsD-Domestic,PaxD-Domestic,CargoD-Domestic,FlightsA-international,PaxA-international,CargoA-international,FlightsD-international,PaxD-international,CargoD-international,Flights,Pax,Cargo
0,2010,ABT,"  1,179 ","  112,685 ",  51 ,"  1,179 ","  118,292 ",  9 ,,,,  1 ,  7 ,  -   ,"  2,359 ","  230,984 ",  60 
1,2010,AHB,"  6,234 ","  692,309 ","  2,264 ","  6,191 ","  705,831 ",  924 ,  250 ,"  20,655 ",  13 ,  241 ,"  18,452 ",  9 ,"  12,916 ","  1,437,247 ","  3,210 "
2,2010,AJF,"  1,771 ","  136,865 ",  534 ,"  1,764 ","  141,194 ",  56 ,  1 ,  -   ,  -   ,,,,"  3,536 ","  278,059 ",  590 
3,2010,AQI,  543 ,"  30,006 ",  32 ,  542 ,"  28,674 ",  64 ,,,,  1 ,  -   ,  -   ,"  1,086 ","  58,680 ",  96 
4,2010,BHH,"  1,387 ","  115,415 ",  55 ,"  1,386 ","  122,263 ",  15 ,,,,,,,"  2,773 ","  237,678 ",  70 
5,2010,DMM,"  10,574 ","  1,111,447 ","  7,780 ","  10,611 ","  1,093,376 ","  3,852 ","  12,241 ","  1,204,119 ","  47,936 ","  12,155 ","  1,170,321 ","  16,836 ","  45,581 ","  4,579,263 ","  76,405 "
6,2010,DWD,  185 ,"  5,913 ",  3 ,  185 ,"  6,191 ",  1 ,,,,,,,  370 ,"  12,104 ",  3 
7,2010,EAM,"  3,197 ","  205,444 ",  521 ,"  3,192 ","  210,403 ",  131 ,,,,,,,"  6,389 ","  415,847 ",  652 
8,2010,EJH,  533 ,"  23,391 ",  9 ,  527 ,"  27,483 ",  8 ,,,,  7 ,  -   ,  -   ,"  1,067 ","  50,874 ",  17 
9,2010,ELQ,"  2,060 ","  174,778 ",  574 ,"  2,064 ","  177,947 ",  441 ,  188 ,"  29,442 ",  -   ,  191 ,"  26,864 ",  -   ,"  4,503 ","  409,031 ","  1,014 "
10,2010,GIZ,"  4,210 ","  441,897 ","  1,367 ","  4,186 ","  459,265 ","  1,449 ",  1 ,  -   ,  -   ,,,,"  8,397 ","  901,162 ","  2,817 "
11,2010,HAS,"  2,163 ","  142,241 ","  1,150 ","  2,159 ","  148,815 ",  74 ,  3 ,  92 ,  -   ,  1 ,  -   ,  -   ,"  4,326 ","  291,148 ","  1,224 "
12,2010,HOF,  121 ,"  11,958 ",  4 ,  120 ,"  11,900 ",  1 ,,,,,,,  241 ,"  23,858 ",  4 
13,2010,JED,"  25,242 ","  3,160,789 ","  20,748 ","  24,438 ","  3,081,098 ","  24,544 ","  45,083 ","  5,228,093 ","  126,177 ","  45,076 ","  5,705,842 ","  59,040 ","  139,839 ","  17,175,822 ","  230,508 "
14,2010,MED,"  8,517 ","  653,114 ","  1,322 ","  9,715 ","  665,746 ",  915 ,"  7,050 ","  1,044,396 ",  898 ,"  5,767 ","  530,931 ",  825 ,"  31,049 ","  2,894,187 ","  3,960 "
15,2010,RAE,"  1,082 ","  77,912 ",  397 ,"  1,083 ","  82,238 ",  31 ,  2 ,  41 ,  -   ,,,,"  2,167 ","  160,191 ",  428 
16,2010,RAH,  400 ,"  11,904 ",  14 ,  397 ,"  13,209 ",  10 ,,,,,,,  797 ,"  25,113 ",  24 
17,2010,RUH,"  30,512 ","  3,520,112 ","  18,472 ","  30,096 ","  3,364,229 ","  25,137 ","  24,985 ","  3,428,107 ","  130,241 ","  24,847 ","  3,241,259 ","  58,993 ","  110,440 ","  13,553,707 ","  232,843 "
18,2010,SHW,  942 ,"  47,233 ",  45 ,  941 ,"  48,420 ",  7 ,,,,,,,"  1,883 ","  95,653 ",  52 
19,2010,TIF,"  2,346 ","  174,749 ",  206 ,"  2,337 ","  173,281 ",  362 ,  1 ,  -   ,  -   ,  1 ,  -   ,  -   ,"  4,685 ","  348,030 ",  568 
20,2010,TUI,  589 ,"  27,346 ",  94 ,  589 ,"  30,399 ",  13 ,  1 ,  -   ,  -   ,,,,"  1,179 ","  57,745 ",  106 
21,2010,TUU,"  3,962 ","  340,662 ","  1,786 ","  3,959 ","  344,297 ",  713 ,  4 ,  744 ,  -   ,  2 ,  4 ,  -   ,"  7,927 ","  685,707 ","  2,499 "
22,2010,URY,  621 ,"  52,147 ",  258 ,  619 ,"  53,448 ",  20 ,,,,,,,"  1,240 ","  105,595 ",  278 
23,2010,WAE,  486 ,"  27,798 ",  6 ,  486 ,"  30,504 ",  3 ,,,,,,,  972 ,"  58,302 ",  9 
24,2010,YNB,"  1,456 ","  91,722 ",  176 ,"  1,459 ","  95,882 ",  16 ,  419 ,"  63,184 ",  -   ,  420 ,"  56,588 ",  -   ,"  3,754 ","  307,376 ",  192 
25,2011,ABT,"  1,265 ","  130,273 ",61.35,"  1,274 ","  138,061 ",26.19,,,,,,,"  2,539 ","  268,334 ",87.54
26,2011,AHB,"  7,222 ","  836,919 ",2244.4,"  7,190 ","  855,134 ",1388.45,  662 ,"  54,821 ",24.5,  649 ,"  55,488 ",13.87,"  15,723 ","  1,802,362 ",3671.23
27,2011,AJF,"  1,741 ","  149,643 ",563.69,"  1,731 ","  153,256 ",58.45,,,,,,,"  3,472 ","  302,899 ",622.14
28,2011,AQI,  636 ,"  35,861 ",23.43,  635 ,"  38,619 ",62.97,,,,,,,"  1,271 ","  74,480 ",86.4
29,2011,BHH,"  1,492 ","  134,672 ",64.6,"  1,491 ","  140,082 ",12.77,,,,,,,"  2,983 ","  274,754 ",77.36
30,2011,DMM,"  10,976 ","  1,174,453 ",7684.83,"  10,998 ","  1,164,244 ",2813.46,"  14,510 ","  1,512,760 ",51983.22,"  14,448 ","  1,456,986 ",18202.61,"  50,932 ","  5,308,443 ",80684.11
31,2011,DWD,  194 ,"  7,119 ",1.88,  193 ,"  7,592 ",0.75,,,,,,,  387 ,"  14,711 ",2.63
32,2011,EAM,"  2,823 ","  239,420 ",527.53,"  2,816 ","  241,984 ",134.98,  1 ,  -   ,0.0,,,,"  5,640 ","  481,404 ",662.51
33,2011,EJH,  492 ,"  23,743 ",13.19,  493 ,"  27,525 ",5.3,,,,,,,  985 ,"  51,268 ",18.49
34,2011,ELQ,"  2,068 ","  196,091 ",636.97,"  2,069 ","  200,422 ",503.38,  873 ,"  101,205 ",0.0,  878 ,"  94,663 ",0.0,"  5,888 ","  592,381 ",1140.34
35,2011,GIZ,"  4,040 ","  451,254 ",1461.15,"  4,029 ","  466,645 ",1797.77,  1 ,  -   ,0.0,,,,"  8,070 ","  917,899 ",3258.92
36,2011,HAS,"  1,974 ","  161,934 ",1191.39,"  1,972 ","  170,901 ",84.99,,,,,,,"  3,946 ","  332,835 ",1276.37
37,2011,HOF,  119 ,"  12,826 ",2.05,  118 ,"  12,507 ",5.0,,,,  1 ,  -   ,0.0,  238 ,"  25,333 ",7.05
38,2011,JED,"  26,143 ","  3,455,917 ",20973.03,"  25,796 ","  3,376,883 ",20986.01,"  50,366 ","  5,894,360 ",154012.87,"  50,506 ","  6,443,031 ",71750.47,"  152,811 ","  19,170,191 ",267722.38
39,2011,MED,8352,687773,1185.5,9765,728411,987.5,8216,1135071,1127.0,6555,704193,931.5,"  32,888 ","  3,255,448 ",4231.5
40,2011,RAE,"  1,093 ","  88,032 ",409.72,"  1,092 ","  92,296 ",30.06,  1 ,  -   ,0.0,  1 ,  -   ,0.0,"  2,187 ","  180,328 ",439.79
41,2011,RAH,  502 ,"  17,293 ",18.05,  504 ,"  19,852 ",9.77,,,,,,,"  1,006 ","  37,145 ",27.82
