Year,Month_short,dom/intl,ABT,AHB,AJF,AQI,BHH,DMM,DWD,EAM,EJH,ELQ,GIZ,HAS,HOF,JED,MED,NUM,RAE,RAH,RGB,RUH,SHW,TIF,TUI,TUU,ULH,URY,WAE,YNB
2015.0,Jan,Domestic,34053.0,226556.0,30281.0,12871.0,35969.0,393682.0,2438.0,58745.0,3839.0,56523.0,153787.0,62108.0,4299.0,998100.0,180099.0,0.0,19976.0,5249.0,0.0,1140502.0,13321.0,53794.0,3714.0,100527.0,1822.0,18626.0,10145.0,34154.0
2015.0,Jan,international,0.0,28672.0,3981.0,0.0,0.0,439739.0,0.0,2918.0,0.0,57916.0,0.0,9608.0,4128.0,1604616.0,401483.0,0.0,0.0,0.0,0.0,910518.0,0.0,46959.0,0.0,9802.0,0.0,0.0,0.0,76624.0
2015.0,Feb,Domestic,30382.0,197996.0,28048.0,11372.0,32251.0,332365.0,1875.0,52838.0,3527.0,50068.0,135531.0,56375.0,3576.0,876032.0,157095.0,0.0,18075.0,4600.0,0.0,1010090.0,11974.0,45521.0,3651.0,91888.0,1505.0,16750.0,9357.0,30096.0
2015.0,Feb,international,0.0,26361.0,3708.0,0.0,0.0,356870.0,0.0,3695.0,0.0,49573.0,0.0,8744.0,3875.0,1377620.0,342212.0,0.0,0.0,0.0,0.0,762694.0,0.0,38050.0,0.0,9540.0,0.0,0.0,0.0,60860.0
2015.0,Mar,Domestic,30199.0,200098.0,28892.0,11347.0,31875.0,375757.0,1819.0,50225.0,3805.0,52204.0,140961.0,62344.0,3914.0,989469.0,183350.0,0.0,18390.0,5007.0,0.0,1078981.0,12130.0,49603.0,3836.0,102094.0,1949.0,18204.0,8927.0,32429.0
2015.0,Mar,international,0.0,27292.0,4211.0,0.0,0.0,424371.0,0.0,4238.0,0.0,59312.0,0.0,9747.0,4735.0,1517862.0,359618.0,0.0,0.0,0.0,0.0,888605.0,0.0,41250.0,0.0,11129.0,0.0,0.0,0.0,57777.0
2015.0,Apr,Domestic,28859.0,182625.0,29135.0,10464.0,24979.0,319034.0,1861.0,42212.0,3577.0,44926.0,122243.0,51163.0,3349.0,923836.0,154358.0,0.0,18102.0,4126.0,0.0,924747.0,10145.0,42515.0,3409.0,87299.0,1676.0,16640.0,7662.0,29069.0
2015.0,Apr,international,0.0,26915.0,4316.0,0.0,0.0,401873.0,0.0,2924.0,0.0,54468.0,1274.0,9969.0,5358.0,1659912.0,342247.0,0.0,0.0,0.0,0.0,816488.0,0.0,38220.0,0.0,11715.0,0.0,0.0,0.0,49772.0
2015.0,May,Domestic,32989.0,227804.0,31437.0,11654.0,32362.0,342345.0,1926.0,7828.0,4355.0,52013.0,135124.0,54891.0,3909.0,900584.0,163132.0,0.0,19081.0,6592.0,0.0,1020087.0,12615.0,48006.0,3871.0,96442.0,1523.0,17866.0,9497.0,31317.0
2015.0,May,international,0.0,33096.0,4094.0,0.0,0.0,431408.0,0.0,413.0,0.0,67356.0,3903.0,10866.0,5030.0,1535877.0,251111.0,0.0,0.0,0.0,0.0,896074.0,0.0,41738.0,0.0,15742.0,0.0,0.0,0.0,49948.0
2015.0,Jun,Domestic,31625.0,214063.0,29491.0,11104.0,31199.0,334613.0,1822.0,0.0,4244.0,51539.0,123049.0,50294.0,4045.0,942492.0,163400.0,0.0,18891.0,5647.0,0.0,1062045.0,17107.0,49011.0,3543.0,92557.0,1422.0,18480.0,9051.0,28029.0
2015.0,Jun,international,0.0,38071.0,4158.0,0.0,0.0,439260.0,0.0,0.0,0.0,65323.0,4976.0,9782.0,7581.0,1451545.0,233739.0,0.0,0.0,0.0,0.0,904710.0,0.0,50355.0,0.0,15339.0,0.0,0.0,0.0,46002.0
2015.0,Jul,Domestic,31273.0,245405.0,29114.0,11611.0,30322.0,340574.0,1958.0,0.0,4331.0,56565.0,132658.0,50771.0,4873.0,996593.0,174527.0,0.0,19206.0,6502.0,0.0,1082279.0,18510.0,56848.0,4681.0,93781.0,2052.0,17743.0,9172.0,25834.0
2015.0,Jul,international,0.0,37303.0,6660.0,0.0,0.0,447783.0,0.0,0.0,0.0,73785.0,9062.0,12604.0,10926.0,1458137.0,238760.0,0.0,0.0,0.0,0.0,914837.0,0.0,60413.0,0.0,19510.0,0.0,0.0,0.0,39162.0
2015.0,Aug,Domestic,32256.0,248928.0,31671.0,11455.0,31850.0,345643.0,2036.0,0.0,4591.0,56866.0,143685.0,59336.0,4870.0,921796.0,165237.0,0.0,19319.0,6913.0,0.0,1051219.0,16199.0,51841.0,4845.0,99158.0,1996.0,17788.0,9650.0,31255.0
2015.0,Aug,international,0.0,44956.0,11201.0,0.0,0.0,505678.0,0.0,0.0,0.0,94715.0,11385.0,16015.0,14461.0,1254562.0,399964.0,0.0,0.0,0.0,0.0,1034148.0,0.0,59011.0,0.0,22623.0,0.0,0.0,0.0,33631.0
2015.0,Sep,Domestic,30950.0,229901.0,28973.0,10625.0,30705.0,319007.0,1682.0,0.0,4020.0,52546.0,125936.0,53449.0,5280.0,846151.0,166367.0,0.0,19111.0,6228.0,0.0,947905.0,15228.0,48036.0,4486.0,90043.0,1690.0,16080.0,8960.0,29429.0
