Year,Airport,Flights A-Domestic,Pax A-Domestic,Cargo A-Domestic,Flights D-Domestic,Pax D-Domestic,Cargo D-Domestic,Flights A-international,Pax A-international,Cargo A-international,Flights D-international,Pax D-international,Cargo D-international,Flights,Pax,Cargo
2018.0,ABT,2243.0,235847.0,0.0,2242.0,240210.0,0.0,,,,,,,4485.0,476057.0,0.0
2018.0,AHB,18285.0,1986865.0,0.0,18280.0,2018351.0,0.0,2191.0,233076.0,0.0,2199.0,259917.0,0.0,40955.0,4498209.0,0.0
2018.0,AJF,2304.0,238474.0,0.0,2292.0,243476.0,0.0,614.0,50955.0,0.0,629.0,61436.0,0.0,5839.0,594341.0,0.0
2018.0,AQI,1771.0,142581.0,29.0,1776.0,150226.0,35.4,13.0,0.0,6.4,8.0,0.0,0.0,3568.0,292807.0,70.80000000000001
2018.0,BHH,1944.0,230868.0,0.0,1946.0,243018.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3892.0,473891.0,0.0
2018.0,DMM,26401.0,2766651.0,11132.8,26522.0,2776042.0,3740.4,20261.0,2350707.0,82908.6,20193.0,2561513.0,17948.3,93377.0,10454913.0,115730.1
2018.0,DWD,303.0,16682.0,516.7,303.0,17852.0,523.6,13.0,0.0,9.9,13.0,2.0,4.0,632.0,34536.0,1054.2000000000003
2018.0,EAM,67.0,418.0,0.0,84.0,589.0,0.0,7.0,114.0,0.0,2.0,12.0,0.0,160.0,1133.0,0.0
2018.0,EJH,812.0,27183.0,0.0,813.0,28621.0,0.0,53.0,8.0,0.0,52.0,10.0,0.0,1730.0,55822.0,0.0
2018.0,ELQ,4834.0,469308.0,8591.3,4838.0,479079.0,8873.4,3317.0,316809.0,1414.8,3314.0,369915.0,1118.8,16303.0,1635111.0,19998.299999999996
2018.0,GIZ,10787.0,1202520.0,0.0,10768.0,1239878.0,0.0,821.0,79874.0,0.0,843.0,102180.0,0.0,23219.0,2624452.0,0.0
2018.0,HAS,8140.0,534963.0,150.6,8171.0,542738.0,150.2,890.0,78997.0,0.0,900.0,96208.0,0.0,18101.0,1252906.0,300.79999999999995
2018.0,HOF,3056.0,66652.0,25.0,3057.0,73397.0,15.7,178.0,15410.0,7.0,178.0,15845.0,7.0,6469.0,171304.0,54.7
2018.0,JED,48021.0,6586645.0,8909.2,46389.0,6336083.0,24207.5,69516.0,10772800.0,211329.0,71137.0,12311381.0,109315.7,235063.0,36006909.0,353761.4
2018.0,MED,10521.0,1163323.0,,13203.0,1322617.0,,19808.0,3235944.0,,17133.0,2422906.0,,60665.0,8144790.0,
2018.0,RAE,1710.0,170322.0,30.1,1703.0,175750.0,5.2,,,,4.0,28.0,0.0,3417.0,346100.0,35.300000000000004
2018.0,RAH,592.0,43562.0,0.0,619.0,46480.0,0.0,1.0,0.0,0.0,,,,1212.0,90042.0,0.0
2018.0,RGB,,,,,,,25.0,43.0,0.0,25.0,50.0,0.0,50.0,93.0,0.0
2018.0,RUH,56612.0,7814427.0,16991.6,56744.0,7709819.0,7910.6,47626.0,6172594.0,154557.5,47763.0,6429791.0,54569.2,208745.0,28126631.0,234028.90000000002
2018.0,SHW,1478.0,137930.0,0.0,1478.0,135893.0,0.0,,,,1.0,7.0,,2957.0,273830.0,0.0
2018.0,TIF,3562.0,388317.0,0.0,3554.0,381411.0,0.0,1833.0,199452.0,0.0,1841.0,204733.0,0.0,10790.0,1173913.0,0.0
2018.0,TUI,856.0,52585.0,0.1,855.0,53939.0,0.1,4.0,0.0,0.0,6.0,8.0,0.0,1721.0,106532.0,0.2
2018.0,TUU,6228.0,687884.0,0.1,6644.0,725912.0,0.1,783.0,84472.0,0.0,782.0,91020.0,0.0,14437.0,1589288.0,0.2
2018.0,ULH,547.0,16808.0,0.0,544.0,17119.0,0.0,11.0,104.0,0.0,11.0,198.0,0.0,1113.0,34229.0,0.0
